id;first_name;second_name;last_name;birth_date;job_title
1;Лонгин;step-aunt;Bergstrom;2023-12-24;Региональный логистический дизайнер
2;Леонид;photography;Haag;2023-12-25;Глобальный оптимизационный аналитик
3;Акулина;sheepishly greatness;Gleichner;2023-12-25;Генеральный коммуникационный разработчик
4;Гаврила;concerned osmosis greatly;Rosenbaum;2023-12-25;Центральный оптимизационный дизайнер
5;Алевтина;even canine;Brekke;2023-12-24;Главный интеграционный планировщик
6;Антонин;anxiously among;Barton;2023-12-24;Ведущий логистический техник
7;Карл;appendix afore;Nitzsche;2023-12-24;Ведущий оптимизационный разработчик
8;Платон;magnificent;Brown;2023-12-25;Главный операционный помощник
9;Эраст;innocently;Swaniawski;2023-12-25;Генеральный страховой дизайнер
10;Куприян;righteously violently relieved;Gleason;2023-12-25;Районный функциональный специалист
