id;alphabet_book_number;first_name;second_name;last_name;birth_date
1;27905;Аркадий;boo infarction;Kreiger;2023-12-25
2;4475;Роман;externalise gosh drat;Parker;2023-12-25
3;1667;Зосима;triangular;Wisoky;2023-12-25
4;13603;Мария;vignette dub;Schneider;2023-12-25
5;152;Исидор;throughout overconfidently enthusiastically;Schulist;2023-12-25
6;21670;Любосмысл;kiddingly lest;Tremblay;2023-12-25
7;13248;Алевтина;apricot mid while;Hamill;2023-12-25
8;11719;Эрнст;sweetly till;Hane;2023-12-25
9;17429;Марина;so;Muller;2023-12-24
10;14322;Евдокия;while reproachfully;Raynor;2023-12-25
